List	ItemNumb	$Cond	$fullitem	$Detail	$DetailPlace	DetailWC	$DetailClause	QuestPresent	$Question	ButtonPress	CorrectResp
1	11	"F"	"In 2005, the food pyramid was updated following recognition that its \n\nallowance of food was unhealthy. For example, 8 oz of beef a day was \n\npermitted under the pyramid and has been directly linked to heart disease. \n\nThe importance of fats was also understated. Unsaturated fats were unduly \n\nrestricted despite offering benefits to health."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	12	"CE.B"	"*Early organization of law in colonial societies faced many \n\nsetbacks.* Because* the people* no longer* wanted to be associated with \n\ntheir* old countries,* the colonists* did not* participate on* councils* with \n\nthe magistrates to* develop laws.* The colonies were split as how \n\nbest to handle the question* of justice.*"	"councils"	"effect"	30	"3rd"	0	"empty"	0	0
1	13	"F"	"The World Series began when the newly formed American League challenged \n\nthe National League to a game. The American League's Boston Red Sox won \n\nthe game against the Pittsburgh Pirates. Two years later, the Pirates \n\nrenewed the challenge and restored the honor of the National League. The \n\nseries has been played every year since."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	14	"EC.M"	"*Stalkers will explore all avenues to discover private information about \n\ntheir victims.* The Privacy Act* was passed to* \n\nlimit the disclosure of personal information by* government \n\ninstitutions* because* John Bardo* obtained the* address of a murder victim he \n\nstalked for several* weekends* through* the DMV.* Bardo is currently serving a \n\nlife sentence in* maximum security.*"	"weekends"	"cause"	42	"3rd"	0	"empty"	0	0
1	15	"F"	"In exercise science, the best type of workout is hotly disputed. While \n\nsome experts promote cardio as a way to boost metabolism for the day to \n\ncome, others point to lifting weights in the evening as a way to leverage \n\nprotein synthesis. The correct answer is really based on the person's \n\nindividual goals."	"evening"	"empty"	0	"empty"	0	"empty"	0	0
1	16	"F"	"Prime Minister Winston Churchill delivered a famous speech to the House \n\nof Commons in 1940. Churchill warned that German invasion of Britain was \n\nall too possible, but that if they found allies in the New World, they \n\ncould prevail together. It was an indirect plea to President Roosevelt \n\nto join the war."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	17	"EC.N"	"*Quechuan farming practices in the Andes offer a lesson to \n\nindustrial farmers.* Future generations* will be \n\nable* to grow* wheat* in environments changed by* global \n\nwarming.* Quechuan farmers* needed to adapt* crops to the extraordinary \n\nrange of climatic diversity in* the Andes.* The Quechuan methods can be \n\nmimicked in more* temperate regions.*"	"wheat"	"effect"	20	"3rd"	0	"empty"	0	0
1	18	"F"	"Pluto doesn't have enough mass to clear its orbit and become the dominant \n\nbody in the vast Kuiper belt. Clearing its orbit is one of the defining \n\ntraits of a planet. Without that, Pluto can only be considered a dwarf \n\nplanet. The reclassification rocked the world's view of the solar system."	"mass"	"empty"	0	"empty"	1	"Did the Pirates play the Red Sox during the first World Series?"	1	1
1	19	"F"	"Aaron Burr and Alexander Hamilton were frequent political opponents. After \n\nHamilton attacked Burr's character during a presidential campaign, Burr \n\nchallenged him to a duel with repeating caplock pistols. Burr won the \n\nduel, killing Hamilton to the outrage of the nation. He then lost the \n\npresidential election."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	20	"EC.N"	"*One indicator used to judge living conditions in Allegheny County is \n\nair quality.* The county* has been unable* to move up in rankings of \n\nlivability for* several years.* Allegheny County* has a large* amount \n\nof particle pollution from* aluminum* production in its* \n\nouter regions.* Ecologists insist action must be taken to preserve* living \n\nconditions.*"	"aluminum"	"cause"	39	"3rd"	0	"empty"	0	0
1	21	"F"	"The most labor-intensive activity on farms is the harvest. It's no \n\nsurprise then that the greatest number of farming machinery is dedicated \n\nto making this process more efficient. For example, specialized equipment \n\nis used to remove seeds from the crops as they are transported down a \n\nconveyor belt."	"harvest."	"empty"	0	"empty"	0	"empty"	0	0
1	22	"EC.M"	"*The success of the Romans depended on more than their military \n\nfortitude.* Few Romans* died from* diseases associated with the \n\nconsumption of* parasites* in water* because* the Romans* built sewage* systems \n\nto keep drinking water separated from* waste runoff.* The technology had the \n\nadvantage of keeping Roman soldiers fit during* long campaigns.*"	"parasites"	"effect"	23	"3rd"	0	"empty"	0	0
1	23	"F"	"Ironically, the first video ever to air on MTV was Video Killed the Radio \n\nStar. The song had actually been written in the decade prior to the 1980s \n\nlaunch of MTV. Its lyrics seemed prophetic, but in later decades, MTV \n\nplayed less and less music whereas music still dominates the radio."	"1980s"	"empty"	0	"empty"	0	"empty"	0	0
1	24	"CE.M"	"*The pangolin is a type of nocturnal \n\nanteater.* Medicinal qualities* are attributed* to the* scales* of the \n\nanimal for use against* various diseases,* so* the pangolin* is trafficked at* \n\nsteep prices more than any other mammal in* the world.* A pangolin specialist \n\ngroup has arisen to combat this issue in Asia* and Africa.*"	"scales"	"cause"	15	"2nd"	0	"empty"	0	0
1	25	"CE.M"	"*Small farms are becoming a business of \n\nthe past.* Many farmers* are having a* difficult time making \n\nenough money off corn sales to* stay solvent,* so* their farmland* is being \n\nused* in* Indiana* as space for solar panel* power plants.* Farming \n\nproduction in the state is at an* all-time low.*"	"Indiana"	"effect"	33	"3rd"	0	"empty"	0	0
1	26	"CE.M"	"*On August 13, 1964, Kitty Genovese was stabbed, sexually assaulted, and \n\nmurdered in Queens.* People in groups* tend to assume* someone \n\nelse will take responsibility even in* emergency \n\nsituations,* so* thirty-eight witnesses* did not call* the police for help \n\non the* morning* of* Genovese's murder.* The murder stimulated \n\nsocial psychological research into the* bystander effect.*"	"morning"	"effect"	42	"3rd"	0	"empty"	0	0
1	27	"F"	"Most people think of dyslexia as seeing words or letters that are \n\nreversed, but that phenomenon only occurs in a small number of dyslexic \n\npatients. Instead, people with dyslexia often see the words move while \n\nreading and report migraines, nausea, and dizziness. Reading is literally \n\npainful for them."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	28	"EC.B"	"*Death Valley in California contains sections of rock covered in pictographs \n\nmade by prehistoric civilizations.* The reason* the rock walls* contain unmarred* \n\nimages of ancient rituals in* the region* is* indigenous populations* have \n\nlong* deemed the valley near the* badlands* to* be uninhabitable.* \n\nThe pictographs are under threat from the increased development \n\nhappening in the* valley today.*"	"badlands"	"cause"	40	"3rd"	0	"empty"	0	0
1	29	"F"	"The ancient pharaohs of Egypt built more pyramids than just the three \n\nfamous pyramids of Giza, but not all have survived. The Black Pyramid, \n\nbuilt by King Amenemhat III, only survives in partial form. When \n\noriginally built, the pyramid had a polished granite capstone. The pyramid \n\nwas originally one of eleven."	"granite"	"empty"	0	"empty"	0	"empty"	0	0
1	30	"EC.B"	"*Drug dealers surprisingly do report and pay taxes on \n\ntheir income.* The reason* the federal government* is unlikely to* legalize \n\ndrugs in the* near future* is* legalized drug businesses* could take tax* \n\ndeductions in excess of* five* billion dollars.* Drug laws often have \n\nlittle to do with the dangers of the* drug itself.*"	"five"	"cause"	37	"3rd"	1	"Did Amenemhat build the Black Pyramid?"	1	1
1	31	"CE.N"	"*Auroras are awe-inspiring waves of color illuminated \n\nin the sky.* The Alaskan state* is listed in* travel magazines for its* \n\nbeautiful auroras.* Many tourists* choose to fly* in the* spring* months* \n\nto Alaska.* The lights are believed to have an electrical origin in the* \n\nupper atmosphere.*"	"spring"	"effect"	30	"3rd"	0	"empty"	0	0
1	32	"EC.N"	"*Leafcutter ants maintain mushroom farms in humid \n\nenvironments.* The mushrooms* thrive without* suffering from \n\ndiseases brought on by bacteria living in* the area.* The ants* cover \n\nthe* mushrooms with a compound produced in their* saliva* from* \n\nchewing plants.* The flourishing of the mushroom gardens is critical for the \n\nant* colony's survival.*"	"saliva"	"cause"	35	"3rd"	0	"empty"	0	0
1	33	"CE.M"	"*The Internet has become fascinated with a microscopic animal called a \n\ntardigrade.* The creatures* have been found* alive following \n\ndecimation by* wildfires* of* jungle regions,* so* the species* is believed to* \n\nhave enough genetic diversity to survive a future* extinction event.* \n\nThe genetic variety can make classifying the tardigrade difficult* \n\nfor taxonomists.*"	"wildfires"	"cause"	22	"2nd"	0	"empty"	0	0
1	34	"EC.N"	"*Citalopram is an antidepressant of the selective serotonin reuptake \n\ninhibitor class.* The drug* was reported by* independent reviewers \n\nin* Sweden* to be among the safest in* its class.* Other drugs* have a \n\nlow* probability of interacting with Citalopram to produce unwanted* \n\nside effects.* Depression typically subsides within two weeks from the* \n\nfirst dose.*"	"Sweden"	"effect"	20	"3rd"	0	"empty"	0	0
1	35	"F"	"Theodore Roosevelt is still the youngest person to have ever served as \n\nPresident. Roosevelt was sickly as a child, but rather than resting in \n\nbed, he pushed himself to roam the outdoors to recover. As president, he \n\npleased many environmentalists when he set aside land for preservation \n\nby creating the national parks system."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	36	"F"	"Chinchillas live in herds in the high altitudes of the Andes. The rodents \n\nhave the densest fur of all mammals with sixty hairs sprouting from a \n\nsingle follicle, but they are so small that it takes many of the animals \n\nto make one shawl. Many Peruvians also keep them as pets."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	37	"F"	"The pepper-box revolver is a multiple-barrel firearm. One powder charge \n\ncan accidentally ignite all the other charges in the weapon \n\nsimultaneously. This can have a bonus effect of launching many bullets \n\nsimultaneously, but if the person firing isn't ready for it, it can cause \n\nunexpected kickback, knocking some off their feet."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	38	"CE.B"	"*Hot air balloons are a popular way to capture an aerial view of \n\nthe Earth.* Because* wind gusts* can change* direction \n\ndramatically with small changes in the* altitude* of* the \n\natmosphere,* even experienced pilots* can have* difficulty piloting \n\nthe balloons safely some of* the time.* Balloons have collided \n\nwith tall buildings in cities* like Chicago.*"	"altitude"	"cause"	28	"2nd"	0	"empty"	0	0
1	39	"F"	"The Emancipation Proclamation did not free all slaves. Lincoln's \n\nproclamation freed slaves living in states in open rebellion against the \n\nUnited States. Delaware, a state that did not secede, still could and did \n\nhold slaves. Slaves in Delaware were freed until after the Civil War ended \n\nin 1865 when the 13th Amendment became law."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	40	"F"	"Good hygiene has often been hailed as one of the reasons for the superior \n\nhealth of modern society. However, too much cleanliness is paradoxically \n\nblamed for conditions such as polio and the rise of autoimmune disorders. \n\nIt seems that some exposure to germs is good for the body. Moderation \n\nseems to be the key."	"autoimmune"	"empty"	0	"empty"	0	"empty"	0	0
1	41	"CE.B"	"*Alexander the Great subjugated Egypt under \n\nGreek rule.* Because* the Egyptians* needed to be* united \n\nwith the Greeks in the years following* Alexander's \n\nconquest,* a Greek Pharaoh* established a* god of* wisdom* with \n\na Greek appearance and* Egyptian clothes.* Worship of the god Serapis \n\ncontinued for another* 600 years.*"	"wisdom"	"effect"	32	"3rd"	0	"empty"	0	0
1	42	"CE.B"	"*The Vietnam War left the surrounding countries with fields \n\nfilled with land mines.* Because* the mines* have been* \n\nresponsible in Cambodia for lost* buffalo* and over 60,000* \n\ncivilian deaths,* mine clearance* is being* executed by the United \n\nNations as a* humanitarian effort.* The use of mines \n\nas a military weapon* continues today.*"	"buffalo"	"cause"	24	"2nd"	1	"Was John F. Kennedy the youngest person to serve as President of the United States?"	3	0
1	43	"EC.B"	"*The Battle of the Alamo was followed by a second, lesser known massacre of \n\nthe Texan army.* The reason* the Mexican army* encircled the* Texan troops with \n\na substantial* cavalry force* is* the retreating Texans* made frequent* \n\nstops for their* oxen* to graze in* open plains.* The battle took more Texan \n\nlives than that of* the Alamo.*"	"oxen"	"cause"	41	"3rd"	0	"empty"	0	0
1	44	"F"	"Many of today's most widely known fairy tales were written by Hans \n\nChristian Andersen. His tales reflect Christian ideology, but many of his \n\ncharacters were also based on folklore he heard while growing up in \n\nDenmark. He included subtle pagan rites from this lore within an otherwise \n\nChristian framework."	"Denmark."	"empty"	0	"empty"	0	"empty"	0	0
1	45	"CE.M"	"*Murasaki Shikibu, a woman, wrote the first novel \n\nin the 11th century.* Murasaki Shikibu* served at court* for a royal \n\nwoman with a love for archaic* grammar* in poetry,* so* the novel* centers on\n\n the* numerous love affairs happening in the Imperial palaces* \n\nof Tokyo.* The Tale of Genji has been translated into* numerous languages.*"	"grammar"	"cause"	27	"2nd"	0	"empty"	0	0
1	46	"F"	"Mexico's government legalized the ownership of slaves in the early 19th \n\ncentury. The hope was that it would persuade affluent Americans to \n\nimmigrate from the West into Mexico. However, only a few years later, the \n\ngovernment changed their mind, turning their state into more of a \n\ndemocracy and banning slavery for good."	"West"	"empty"	0	"empty"	0	"empty"	0	0
1	47	"EC.M"	"*The USS Maine sank on March 28, 1888, in the \n\nCaribbean Sea.* A war* broke out along* cotton trade routes between \n\nthe Spanish and* American governments* because* American authorities* believed \n\nan* underwater mine set off the explosion responsible for* capsizing* the* \n\nnaval ship.* The war ended in just four* short months.*"	"capsizing"	"cause"	40	"3rd"	0	"empty"	0	0
1	48	"CE.N"	"*The three goddesses accepted as the Fates were the personification \n\nof destiny.* The Fates* had the power* to determine the \n\nfuture of the* recently born.* Greek parents* laid sacrifices* on maple \n\nwood altars at* shrines* to* the Fates.* The three Fates were ever present \n\nin the lives of the* ancient Greeks.*"	"shrines"	"effect"	35	"3rd"	0	"empty"	0	0
1	49	"CE.M"	"*The northern hairy-nosed wombat lives underground in a network \n\nof burrows.* The tunnels* stay at a* climate ideal to the \n\ncomfort of* the animal,* so* the wombats* avoid emerging* above ground \n\ninto the harsh* winds* typical of* their habitat.* Young are \n\nusually born during the wet season between November* and April.*"	"winds"	"effect"	35	"3rd"	0	"empty"	0	0
1	50	"F"	"Jersey is a small island nation off the coast of England. As a reward for \n\nharboring him during the English Civil War, King Charles I gifted the \n\npeople of Jersey a swath of land in the new world. They fittingly named \n\nthis land New Jersey. However, the land was ultimately settled by the \n\nDutch."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	51	"F"	"Asian gypsy moths are invading the United States and wreaking billions \n\nof dollars of havoc. They feed more voraciously than other moth species \n\nand secrete harmful substances from their glands as they feed. Cargo ships \n\ninbound from Asia, believed to be full of eggs, are being asked to spray \n\ntheir ships with biopesticides."	"glands"	"empty"	0	"empty"	0	"empty"	0	0
1	52	"F"	"Early on, human embryos develop gill slits in the neck. These slits will \n\neventually close, leaving just one open for development of the ear. Later, \n\nthe embryo will develop a tail which recedes to form the tissue of the \n\ncoccyx. It's unclear to biologists why the human embryo develops and then \n\ndiscards such features."	"tail"	"empty"	0	"empty"	0	"empty"	0	0
1	53	"F"	"The unicorn has captured the fancy of many cultures. Archeologists have \n\nfound depictions of single-horned animals on seals from vessels in Persia. \n\nDespite early speculation that they may depict unicorns, it is believed \n\nthat the single horn is a result of showing the image in profile."	"empty"	"empty"	0	"empty"	1	"Have you read about Fairy Tales?"	1	1
1	54	"CE.B"	"*The sinking of the Estonia cruise ship in 1994 shocked \n\nthe world.* Because* the ship* took on a* steep list at night from water \n\nflooding* the bow,* the passengers* on board could* not reach the \n\nlifeboats on the* starboard* side of* the ship.* Nearly one thousand people \n\ndrowned during the sinking of* the Estonia.*"	"starboard"	"effect"	38	"3rd"	0	"empty"	0	0
1	55	"F"	"The Great Famine was a period of starvation that happened in Ireland \n\nduring the mid 19th century. However, the Irish didn't starve due to any \n\nenvironmental disaster. They had plenty of potatoes, but the British \n\nforced the Irish to export them to compensate for disease among crops \n\nthroughout the rest of Europe."	"potatoes,"	"empty"	0	"empty"	0	"empty"	0	0
1	56	"F"	"Alan Shepherd, the first man to be launched into space by NASA, decided \n\nto drink a bunch of coffee before he took off, but NASA didn't have a way \n\nfor him to relieve himself once he was strapped to the rocket. Shepherd \n\nbecame the first man to pee his pants in space."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	57	"EC.M"	"*One of the most dangerous substances for pregnant women to consume \n\nis alcohol.* Alcohol exposure* can result in* major neurological \n\ndamage to the* hippocampus* of the* fetal brain* because* the human fetus* has a* \n\nparticularly underdeveloped set of organs for breaking* down alcohol.* \n\nPregnant alcoholics should seek support to ensure they do* \n\nnot relapse.*"	"hippocampus"	"effect"	24	"3rd"	0	"empty"	0	0
1	58	"CE.B"	"*On the Antiques Road Show, people would bring antiques from their home for \n\nappraisal on live TV.* Because* the items featured* often sold* within hours for \n\nprices inflated beyond their* market value,* the show's appraisers* sometimes \n\nlied* about the* rarity* of objects brought in by* their friends.* Netflix \n\nhas expressed interest in rebooting* the show.*"	"rarity"	"effect"	40	"3rd"	1	"Have you read about Neil Armstrong?"	3	0
1	59	"F"	"The Grave Creek Mound in West Virginia is a remnant of an ancient \n\ncivilization. Weapons made out of obsidian were found at the site, but \n\nobsidian only occurs in volcano-rich regions. A vast trade network must \n\nhave existed in ancient North America for such rock to appear so far from \n\na volcano."	"volcano"	"empty"	0	"empty"	0	"empty"	0	0
1	60	"F"	"Social security funding is a growing concern in the United States. Rumors \n\nof funding being depleted over the next several decades have been \n\nspreading in the news. However, politicians claim that they will continue \n\nto ensure funding for social security. The truth about its longevity is \n\ndifficult to ascertain."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	61	"CE.N"	"*The lipstick plant is prized for its lipstick tube-like \n\nflower buds.* The plant* grows on the* surface of other organisms \n\nwithout needing* nutrients* from them.* Plant enthusiasts* place lipstick* \n\nplants in gardens in the hopes of creating* interesting aesthetics.* \n\nThe flowers can be found in the wild all* across Asia.*"	"nutrients"	"cause"	23	"2nd"	0	"empty"	0	0
1	62	"EC.B"	"*Sigmund Freud was almost another Jewish person lost to the Nazis \n\nduring WWII.* The reason* Freud's friends* were able to* convince him to flee \n\nAustria in* October* for England* is* his daughter* was aggressively* \n\ninterrogated for three days early during* the war.* Had he stayed, he likely \n\nwould have been arrested* and killed.*"	"October"	"effect"	27	"3rd"	0	"empty"	0	0
1	63	"EC.M"	"*Soil erosion is a growing concern among agricultural \n\nscientists.* Soil erosion* will replace* petroleum \n\nscarcity as the nation's most critical natural* resource \n\nproblem* because* heavy demands* continue to be* placed on \n\nfarmland by* soybean* production in* the Midwest.* The problem will continue \n\nto grow with the expansion of* the population.*"	"soybean"	"cause"	34	"3rd"	0	"empty"	0	0
1	64	"CE.N"	"*Dadaism is an art movement that developed in response to the \n\nsenselessness of WWI.* The Dadaists* saw* intellectual \n\nconformity as the* Imperialist* mission at the heart \n\nof* the war.* The Dada poets* used language* \n\nabsurdly with nonsense vocabulary meant to break with* \n\ntraditional form.* Many of the Dada artists evolved* into Surrealists.*"	"Imperialist"	"cause"	22	"2nd"	0	"empty"	0	0
1	65	"EC.N"	"*Korean babies are considered to be one year old \n\nupon birth.* Korean children* can differ \n\nin* age by as much as two years from their* American \n\ncounterparts.* The second birthday* is celebrated* \n\nduring the* waxing* of the first moon each* lunar year.* All Koreans born in \n\nthe same year are effectively the* same age.*"	"waxing"	"cause"	35	"3rd"	0	"empty"	0	0
1	66	"F"	"Prohibition demonstrated that laws have little power over the people. \n\nDuring Prohibition, otherwise law-abiding citizens overwhelmed police with \n\ntheir willingness to disregard the law. Police also felt little motivation \n\nto arrest citizens for indulging in an activity of which they themselves \n\npartook. In the end, people, not Congress, decide what laws to keep."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	67	"F"	"C++ is a dangerous but powerful computing language. It allows for \n\nlow-level manipulation of memory that can cause deep-seated and difficult \n\nto fix bugs in final programs. But that very same ability to manipulate \n\nmemory allows programmers to create well-optimized and concise programs \n\nthat virtually run the world."	"empty"	"empty"	0	"empty"	1	"Were the people of the Grave Creek Mound a mining people?"	3	0
1	68	"CE.M"	"*Animal behaviorists were interested in studying bottlenose dolphins in \n\nthe wild.* The scientists* spent months in* the* Indian* Ocean tracking* \n\nthe dolphins,* so* the dolphins* noticed and* approached diving teams of \n\nscientists* with curiosity.* They now operate interactive \n\ndolphin tours out of the harbor for* enthusiastic tourists.*"	"Indian"	"cause"	18	"2nd"	0	"empty"	0	0
1	69	"F"	"Louis-Auguste was the last real monarch of France. While hated for the \n\nway his deregulation of the grain market affected commerce, he wasn't all \n\nbad. He tried to abolish serfdom, increase tolerance toward non-Catholics, \n\nand rescind laws requiring baptism. He also supported the United States \n\nduring the Revolutionary War."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	70	"F"	"The Midwest has a surprising amount of environmental diversity. For \n\nexample, Lake Michigan is big enough that you won't know you're not \n\nsurfing in the Atlantic as you ride the waves. And the dunes off of Lake \n\nMichigan might even make you think you're visiting the desert. It's a \n\npopular vacation spot for locals."	"dunes"	"empty"	0	"empty"	0	"empty"	0	0
1	71	"F"	"The Theremin is an early electronic musical instrument controlled without \n\nthe need for physical contact. The contactless mechanism made control of \n\nthe pitch difficult for even experienced players, but its novel sound made \n\nit worth the extra effort. Despite some waning in popularity, the Theremin \n\nstill has a niche following today."	"waning"	"empty"	0	"empty"	0	"empty"	0	0
1	72	"F"	"The Song dynasty controlled much of what is now modern day China during \n\nthe 11th century. This was a period of innovation in China. Gunpowder, \n\ncompasses and bank notes were all invented by the Chinese of this era. \n\nThe use of paper money makes this government the first capitalist regime \n\nin history."	"Capitalist"	"empty"	0	"empty"	0	"empty"	0	0
1	73	"F"	"Art is loosely defined as the creation or destruction of something. Some \n\nartists believe that everything an artist does is art. This can include \n\nmundane tasks such as cleaning or mailing a letter. While widely \n\nacknowledged within the art world, this is not a take on art that the \n\ngeneral public usually accepts."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	74	"F"	"Stress is a culprit behind many bodily ailments. Long-term stress can lead \n\nto a breakdown among the neural networks of the hypothalamus. \n\nAdditionally, chronic stress has been linked to ulcers among those with \n\npoor stress-release outlets. Exercise can be particularly important among \n\nthose with high-stress jobs."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	75	"CE.M"	"*Gilbert's syndrome prevents the body from properly processing \n\nbilirubin.* Episodes of jaundice* may be* triggered by menstruation \n\nin those with the* liver disorder,* so* the symptoms* are more* pronounced among \n\npopulations of adult women with the* immunodeficiency* disease \n\ndiagnosis.* Most of the side effects of the disorder are manageable with \n\nminimal* medical intervention.*"	"immunodeficiency"	"effect"	37	"3rd"	0	"empty"	0	0
1	76	"F"	"Perhaps unsurprisingly, Europeans were one of the last to adopt guns as \n\nweapons for warfare. After the invention of gunpowder by the Chinese, it \n\ntravelled East through Arabia, where, in the 16th century, its usage \n\nradically changed warfare. The major players in the Middle East became \n\nknown as the Gunpowder Empires."	"16th"	"empty"	0	"empty"	0	"empty"	0	0
1	77	"EC.B"	"*Johnny Appleseed was really a missionary and gardener named John \n\nChapman.* The reason* Johnny Appleseed* was a welcome* presence in many \n\ncabins throughout the* American frontier* is* John Chapman* distilled his* \n\napples in* hickory* wood vats for the production of* alcoholic cider.* \n\nIt's no surprise that the history of his apples became memorialized* \n\nin song.*"	"hickory"	"cause"	34	"3rd"	1	"Did the Song Dynasty invent the compass?"	1	1
1	78	"F"	"The emergence of prison unions is a relatively recent phenomenon, and with \n\nunions come strikes. There are split opinions among the general public \n\nabout allowing prisoners to form unions, but prison strikes channel \n\nsuppressed rage into constructive discourse between the inmates and the \n\nwardens. This reduces the risk of harm for all involved."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	79	"F"	"The bubonic plague has killed over 50 million people across Asia and \n\nEurope. The Mongolian steppes are still inhabited by a rodent host that \n\ncarries the plague virus, but people who acquire the bubonic plague today \n\noften recover from the illness. The last deadly outbreak was in China in \n\nthe mid-19th century."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	80	"CE.N"	"*The red-shanked douc is an endangered \n\nspecies of monkey.* Increased tourism* has created a* need to develop \n\npreviously* forested areas.* The primates' habitat* has been* \n\nshrinking down in* Indonesia* to dangerously* low levels.* British \n\nconservationists are attempting to tag and track the remaining populations \n\nliving in* the region.*"	"Indonesia"	"effect"	29	"3rd"	0	"empty"	0	0
1	81	"CE.N"	"*Las Vegas is a city known for the neon signs illuminating its \n\nmany hotels.* The Excalibur hotel* found success* in the* 1990s* by \n\nemphasizing fantasy* over flash.* Many hotels* have removed* their \n\nwell-known neon signs to make a classier* visual statement.* The process is \n\nchanging the landscape of* the city.*"	"1990s"	"cause"	22	"2nd"	0	"empty"	0	0
1	82	"EC.B"	"*The Panama Canal provides quick access from the US East \n\nCoast to Asia.* The reason* cargo ships* are increasingly* using the \n\nSuez Canal in Egypt to* reach Asia* is* the canal* charges heavy* \n\ntolls based on the ship's* length* for transport through* its lifts.* \n\nThe canal recently completed an expansion to allow larger ships \n\nthrough* the passage.*"	"length"	"cause"	39	"3rd"	0	"empty"	0	0
